Item ID,Item name,Website,Price (Total),Amount Needed,Role in PCB,Notes
N/A,PAW3395DM-T6QU,https://www.lcsc.com/product-detail/C41346211.html,$0.47,1,Mouse sensor,
N/A,NRF54L15-QFAA-R,https://www.symmetryelectronics.com/products/nordic-semiconductor/nrf54l15-qfaa-r/?utm_source=OemSecrets&utm_medium=compref&utm_campaign=oemsecrets&utm_term=nrf54l15-qfaa-r,$4.49,1,Mouse brain/chip,
N/A,Kailh GM White Blade — Esports Mouse Micro Switch | 100M Clicks · 60gf · Gold Plated,https://diykey.net/products/kailh-sword-gm-x-micro-switch?variant=49186454536515&_gsid=8eySBJeLN7au&utm_source=chatgpt.com&utm_medium=feed&oppcref=1e981822-0305-4120-a272-4a1ac41ef999,$1.88,2,Mouse main buttons,
N/A,LIANXUE 2Pcs TTC 11mm Mouse Encoders Gold/Green/Silver/Dustproof Gold Cores High Accurate For RIAVL 300 600 700 Mouse Decoders,https://www.walmart.com/ip/LIANXUE-2Pcs-TTC-11mm-Mouse-Encoders-Gold-Green-Silver-Dustproof-Gold-Cores-High-Accurate-For-RIAVL-300-600-700-Mouse-Decoders/15457261779?utm_medium=feed&utm_source=chatgpt.com&oppcref=4010fb8e-38a6-4f87-9585-4971dd634ed1,$9.49,1,Mouse scroll wheel encoder,
YDL602530,3.7V 500mAh 602530 Rechargeable Lithium Polymer Battery,https://ydlbattery.com/products/ydl-3-7v-500mah-602530-rechargeable-lipo-battery-with-jst-connector?variant=42093629636761&_gsid=qYVjZvxauuPf&utm_source=chatgpt.com&utm_medium=feed&oppcref=7ea31ee9-e91e-4ba0-be0a-96bf080829ff,$3.12,1,Battery,
N/A,MCP73831T-2ACI/OT,https://www.microchipdirect.com/product/MCP73831T-2ACI/OT,$0.73,1,Charging cell,
2137160001,2137160001 Molex USB-C Receptacle,https://www.digikey.com/en/products/detail/molex/2137160001/13662558?utm_source=chatgpt.com&oppcref=e6d8db3d-292a-443d-a911-8e6ee0ab68f5,$1.19,1,USB-C Charging,
N/A,MAX98357A,https://www.analog.com/en/products/max98357a.html,$1.31,1,Speaker amplifier,
N/A,SK-6812 MINI-E RGB LEDs,https://keeb.io/products/sk-6812-mini-e-rgb-leds-12-pack?variant=41932389941342&_gsid=7MoeAGoX9gcb&utm_source=chatgpt.com&utm_medium=feed&oppcref=9a2cd94d-b73b-4424-b506-a4ea53180fab,$23.96,4,RGB LEDs,IMPORTANT: This comes as 25-pack
002428,Adafruit Industries Mini Oval Speaker - 8 Ohm 1 Watt,https://www.microcenter.com/product/612827/adafruit-industries-mini-oval-speaker-8-ohm-1-watt?utm_source=chatgpt.com&oppcref=35d45f2c-17d5-43fe-94d0-f1cfcbda9b59,$3.95,1,Speaker,
N/A,TPS63031 High Efficient Single Inductor Buck-Boost Converter with 1-A Switches,https://www.ti.com/product/TPS63031,$0.87,1,Battery management,
N/A,USBLC6-2SC6,https://www.digikey.com/en/products/detail/stmicroelectronics/USBLC6-2SC6/1040559?s=N4Ig7CBcoIYE5QIwA5EGYA0IYBcmZAAcBLJRAFjADYAmABkQF9Gg&utm_source=chatgpt.com,$0.57,1,ESD Protection,
D2LS-21,Omron D2LS-21,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/D2LS-21/5031942,$4.40,2,Side buttons,
Total Price:,,,$56.43,,,
